Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-151508;;;;
DATUM (SS:MM:SS);20.11.19 15:15:08;;;;
ZEIT (SS:MM:SS);00:02:26;;;;
MAXIMUM;7,38 µS;;;;
MINIMUM;5,71 µS;;;;
DIFFERENZ MIN/MAX;1,67 µS;;;;
DURCHSCHNITT SESSION;6,20 µS;;;;
ZUNAHME (SS:MM:SS);00:00:22;;;;
STETIG (SS:MM:SS);00:00:06;;;;
ABNAHME (SS:MM:SS);00:01:57;;;;
;;;;;
GESAMT SCR;10;;;;
% SCR DER SITZUNG;25,5%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:29;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;6,22;15:15:08:737;0;0;
0,2;6,17;15:15:08:937;0;0;
0,4;6,13;15:15:09:137;0;0;
0,6;6,09;15:15:09:337;0;0;
0,8;6,06;15:15:09:537;0;0;
1,0;6,03;15:15:09:737;0;0;
1,2;6,00;15:15:09:937;0;0;
1,4;5,98;15:15:10:137;0;0;
1,6;5,96;15:15:10:337;0;0;
1,8;5,94;15:15:10:537;0;0;
2,0;5,92;15:15:10:737;0;0;
2,2;5,90;15:15:10:937;0;0;
2,4;5,89;15:15:11:137;0;0;
2,6;5,87;15:15:11:337;0;0;
2,8;5,86;15:15:11:537;0;0;
3,0;5,85;15:15:11:737;0;0;
3,2;5,85;15:15:11:937;0;0;
3,4;5,85;15:15:12:137;0;0;
3,6;5,85;15:15:12:337;0;0;
3,8;5,86;15:15:12:537;0;0;
4,0;5,87;15:15:12:737;0;0;
4,2;5,88;15:15:12:937;0;0;
4,4;5,90;15:15:13:137;0;0;
4,6;5,91;15:15:13:337;0;0;
4,8;5,91;15:15:13:537;0;0;
5,0;5,91;15:15:13:737;0;0;
5,2;5,91;15:15:13:937;0;0;
5,4;5,91;15:15:14:137;0;0;
5,6;5,91;15:15:14:337;0;0;
5,8;5,91;15:15:14:537;0;0;
6,0;5,91;15:15:14:737;0;0;
6,2;5,91;15:15:14:937;0;0;
6,4;5,90;15:15:15:137;0;0;
6,6;5,90;15:15:15:337;0;0;
6,8;5,89;15:15:15:537;0;0;
7,0;5,89;15:15:15:737;0;0;
7,2;5,89;15:15:15:937;0;0;
7,4;5,89;15:15:16:137;0;0;
7,6;5,88;15:15:16:337;0;0;
7,8;5,87;15:15:16:537;1;0;
8,0;5,87;15:15:16:737;1;0;
8,2;5,89;15:15:16:937;1;0;
8,4;5,97;15:15:17:137;1;0;
8,6;6,14;15:15:17:337;1;0;
8,8;6,40;15:15:17:537;1;0;
9,0;6,65;15:15:17:737;1;0;
9,2;6,86;15:15:17:937;1;0;
9,4;7,01;15:15:18:137;1;0;
9,6;7,10;15:15:18:337;1;0;
9,8;7,14;15:15:18:537;1;1;
10,0;7,16;15:15:18:737;1;1;
10,2;7,15;15:15:18:937;1;1;
10,4;7,12;15:15:19:137;1;1;
10,6;7,08;15:15:19:337;1;1;
10,8;7,04;15:15:19:537;1;1;
11,0;6,99;15:15:19:737;1;1;
11,2;6,93;15:15:19:937;1;1;
11,4;6,87;15:15:20:137;1;1;
11,6;6,81;15:15:20:337;1;1;
11,8;6,74;15:15:20:537;1;1;
12,0;6,68;15:15:20:737;1;1;
12,2;6,62;15:15:20:937;1;1;
12,4;6,57;15:15:21:137;1;1;
12,6;6,52;15:15:21:337;1;1;
12,8;6,47;15:15:21:537;1;1;
13,0;6,43;15:15:21:737;1;1;
13,2;6,39;15:15:21:937;1;1;
13,4;6,35;15:15:22:137;1;1;
13,6;6,32;15:15:22:337;1;2;
13,8;6,28;15:15:22:537;1;2;
14,0;6,26;15:15:22:737;1;2;
14,2;6,23;15:15:22:937;1;2;
