Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-102354;;;;
DATUM (SS:MM:SS);20.11.19 10:23:54;;;;
ZEIT (SS:MM:SS);00:02:28;;;;
MAXIMUM;5,47 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;5,02 µS;;;;
DURCHSCHNITT SESSION;4,62 µS;;;;
ZUNAHME (SS:MM:SS);00:00:38;;;;
STETIG (SS:MM:SS);00:00:05;;;;
ABNAHME (SS:MM:SS);00:01:44;;;;
;;;;;
GESAMT SCR;14;;;;
% SCR DER SITZUNG;34,4%;;;;
0-5 SCR/MIN (SS:MM:SS);00:01:25;;;;
6-9 SCR/MIN (SS:MM:SS);00:01:06;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:03;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;4,32;10:23:54:713;0;0;
0,2;4,31;10:23:54:913;0;0;
0,4;4,30;10:23:55:113;0;0;
0,6;4,30;10:23:55:313;0;0;
0,8;4,29;10:23:55:513;0;0;
1,0;4,31;10:23:55:713;0;0;
1,2;4,35;10:23:55:913;0;0;
1,4;4,42;10:23:56:113;0;0;
1,6;4,48;10:23:56:313;0;0;
1,8;4,54;10:23:56:513;0;0;
2,0;4,58;10:23:56:713;0;0;
2,2;4,60;10:23:56:913;0;0;
2,4;4,61;10:23:57:113;0;0;
2,6;4,61;10:23:57:313;0;0;
2,8;4,60;10:23:57:513;0;0;
3,0;4,58;10:23:57:713;0;0;
3,2;4,55;10:23:57:913;0;0;
3,4;4,52;10:23:58:113;0;0;
3,6;4,49;10:23:58:313;0;0;
3,8;4,47;10:23:58:513;0;0;
4,0;4,45;10:23:58:713;0;0;
4,2;4,45;10:23:58:913;0;0;
4,4;4,46;10:23:59:113;0;0;
4,6;4,47;10:23:59:313;0;0;
4,8;4,48;10:23:59:513;0;0;
5,0;4,49;10:23:59:713;0;0;
5,2;4,49;10:23:59:913;0;0;
