Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-124427;;;;
DATUM (SS:MM:SS);20.11.19 12:44:27;;;;
ZEIT (SS:MM:SS);00:02:29;;;;
MAXIMUM;5,32 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;4,87 µS;;;;
DURCHSCHNITT SESSION;4,63 µS;;;;
ZUNAHME (SS:MM:SS);00:00:35;;;;
STETIG (SS:MM:SS);00:00:00;;;;
ABNAHME (SS:MM:SS);00:01:53;;;;
;;;;;
GESAMT SCR;9;;;;
% SCR DER SITZUNG;37,8%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:37;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;4,54;12:44:27:894;0;0;
0,2;4,53;12:44:28:094;0;0;
0,4;4,53;12:44:28:294;0;0;
0,6;4,53;12:44:28:494;0;0;
0,8;4,54;12:44:28:694;0;0;
1,0;4,55;12:44:28:894;0;0;
1,2;4,56;12:44:29:094;0;0;
1,4;4,58;12:44:29:294;0;0;
1,6;4,60;12:44:29:494;0;0;
1,8;4,62;12:44:29:694;0;0;
2,0;4,64;12:44:29:894;0;0;
2,2;4,65;12:44:30:094;0;0;
2,4;4,66;12:44:30:294;0;0;
2,6;4,67;12:44:30:494;0;0;
2,8;4,67;12:44:30:694;0;0;
3,0;4,68;12:44:30:894;0;0;
3,2;4,69;12:44:31:094;0;0;
3,4;4,70;12:44:31:294;0;0;
3,6;4,71;12:44:31:494;0;0;
3,8;4,73;12:44:31:694;0;0;
4,0;4,74;12:44:31:894;0;0;
4,2;4,75;12:44:32:094;0;0;
4,4;4,76;12:44:32:294;0;0;
4,6;4,77;12:44:32:494;0;0;
4,8;4,77;12:44:32:694;0;0;
5,0;4,78;12:44:32:894;0;0;
5,2;4,78;12:44:33:094;0;0;
5,4;4,78;12:44:33:294;1;0;
5,6;4,78;12:44:33:494;1;0;
5,8;4,77;12:44:33:694;1;0;
6,0;4,77;12:44:33:894;1;0;
6,2;4,77;12:44:34:094;1;0;
6,4;4,77;12:44:34:294;1;0;
6,6;4,77;12:44:34:494;1;0;
6,8;4,77;12:44:34:694;1;0;
7,0;4,77;12:44:34:894;1;0;
7,2;4,77;12:44:35:094;1;0;
7,4;4,76;12:44:35:294;1;0;
7,6;4,76;12:44:35:494;1;0;
7,8;4,76;12:44:35:694;1;0;
8,0;4,75;12:44:35:894;1;0;
8,2;4,75;12:44:36:094;1;0;
8,4;4,74;12:44:36:294;1;0;
8,6;4,74;12:44:36:494;1;0;
8,8;4,73;12:44:36:694;1;0;
9,0;4,73;12:44:36:894;1;0;
9,2;4,73;12:44:37:094;1;0;
9,4;4,73;12:44:37:294;1;1;
9,6;4,73;12:44:37:494;1;1;
9,8;4,73;12:44:37:694;1;1;
10,0;4,73;12:44:37:894;1;1;
10,2;4,72;12:44:38:094;1;1;
10,4;4,72;12:44:38:294;1;1;
10,6;4,72;12:44:38:494;1;1;
10,8;4,72;12:44:38:694;1;1;
11,0;4,71;12:44:38:894;1;1;
11,2;4,71;12:44:39:094;1;1;
11,4;4,70;12:44:39:294;1;1;
11,6;4,70;12:44:39:494;1;1;
11,8;4,69;12:44:39:694;1;1;
12,0;4,69;12:44:39:894;1;1;
12,2;4,68;12:44:40:094;1;1;
12,4;4,67;12:44:40:294;1;1;
12,6;4,67;12:44:40:494;1;1;
12,8;4,66;12:44:40:694;1;1;
13,0;4,65;12:44:40:894;1;1;
13,2;4,65;12:44:41:094;1;1;
13,4;4,64;12:44:41:294;1;1;
13,6;4,64;12:44:41:494;1;1;
13,8;4,63;12:44:41:694;1;1;
14,0;4,63;12:44:41:894;1;1;
14,2;4,62;12:44:42:094;1;1;
14,4;4,62;12:44:42:294;0;1;
14,6;4,61;12:44:42:494;0;1;
14,8;4,61;12:44:42:694;0;1;
15,0;4,61;12:44:42:894;0;1;
15,2;4,60;12:44:43:094;0;1;
15,4;4,60;12:44:43:294;0;1;
15,6;4,60;12:44:43:494;0;1;
15,8;4,59;12:44:43:694;0;1;
16,0;4,59;12:44:43:894;0;1;
16,2;4,58;12:44:44:094;0;1;
16,4;4,58;12:44:44:294;0;1;
16,6;4,58;12:44:44:494;0;1;
16,8;4,57;12:44:44:694;0;1;
17,0;4,57;12:44:44:894;0;1;
17,2;4,56;12:44:45:094;0;1;
17,4;4,56;12:44:45:294;0;1;
17,6;4,56;12:44:45:494;0;1;
17,8;4,55;12:44:45:694;0;1;
18,0;4,55;12:44:45:894;0;1;
18,2;4,55;12:44:46:094;0;1;
18,4;4,55;12:44:46:294;0;1;
18,6;4,54;12:44:46:494;0;1;
18,8;4,54;12:44:46:694;0;1;
19,0;4,54;12:44:46:894;0;1;
19,2;4,54;12:44:47:094;0;1;
19,4;4,54;12:44:47:294;0;1;
19,6;4,53;12:44:47:494;0;1;
19,8;4,53;12:44:47:694;0;1;
20,0;4,52;12:44:47:894;0;1;
20,2;4,52;12:44:48:094;0;1;
20,4;4,52;12:44:48:294;0;1;
20,6;4,52;12:44:48:494;0;1;
20,8;4,52;12:44:48:694;0;1;
21,0;4,51;12:44:48:894;0;1;
21,2;4,51;12:44:49:094;0;1;
21,4;4,51;12:44:49:294;0;1;
21,6;4,51;12:44:49:494;0;1;
21,8;4,50;12:44:49:694;0;1;
22,0;4,50;12:44:49:894;0;1;
22,2;4,50;12:44:50:094;0;1;
22,4;4,50;12:44:50:294;0;1;
22,6;4,50;12:44:50:494;0;1;
22,8;4,49;12:44:50:694;0;1;
23,0;4,49;12:44:50:894;0;1;
23,2;4,49;12:44:51:094;0;1;
23,4;4,48;12:44:51:294;0;1;
23,6;4,48;12:44:51:494;0;1;
23,8;4,48;12:44:51:694;0;1;
24,0;4,48;12:44:51:894;0;1;
24,2;4,48;12:44:52:094;0;1;
