Device: Apple iPhone10,4; eSense app version: 4.3.3; ios version: 13.2.3;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-19112019-090151;;;;
DATUM (SS:MM:SS);19.11.19 09:01:51;;;;
ZEIT (SS:MM:SS);00:02:25;;;;
MAXIMUM;5,97 µS;;;;
MINIMUM;5,03 µS;;;;
DIFFERENZ MIN/MAX;0,94 µS;;;;
DURCHSCHNITT SESSION;5,53 µS;;;;
ZUNAHME (SS:MM:SS);00:00:29;;;;
STETIG (SS:MM:SS);00:00:05;;;;
ABNAHME (SS:MM:SS);00:01:50;;;;
;;;;;
GESAMT SCR;7;;;;
% SCR DER SITZUNG;26,2%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:28;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;5,66;09:01:51:997;0;0;
0,2;5,66;09:01:52:197;0;0;
0,4;5,66;09:01:52:397;0;0;
0,6;5,68;09:01:52:597;0;0;
0,8;5,70;09:01:52:797;0;0;
1,0;5,73;09:01:52:997;0;0;
1,2;5,77;09:01:53:197;0;0;
1,4;5,80;09:01:53:397;0;0;
1,6;5,83;09:01:53:597;0;0;
1,8;5,86;09:01:53:797;0;0;
2,0;5,88;09:01:53:997;0;0;
2,2;5,90;09:01:54:197;0;0;
2,4;5,90;09:01:54:397;0;0;
2,6;5,91;09:01:54:597;0;0;
2,8;5,91;09:01:54:797;0;0;
3,0;5,91;09:01:54:997;0;0;
3,2;5,90;09:01:55:197;0;0;
3,4;5,90;09:01:55:397;0;0;
3,6;5,89;09:01:55:597;0;0;
3,8;5,89;09:01:55:797;0;0;
4,0;5,88;09:01:55:997;0;0;
4,2;5,87;09:01:56:197;0;0;
4,4;5,87;09:01:56:397;0;0;
4,6;5,86;09:01:56:597;0;0;
4,8;5,85;09:01:56:797;0;0;
5,0;5,84;09:01:56:997;0;0;
5,2;5,83;09:01:57:197;1;0;
5,4;5,82;09:01:57:397;1;0;
5,6;5,81;09:01:57:597;1;0;
5,8;5,80;09:01:57:797;1;0;
6,0;5,78;09:01:57:997;1;0;
6,2;5,77;09:01:58:197;1;0;
6,4;5,76;09:01:58:397;1;0;
6,6;5,74;09:01:58:597;1;1;
6,8;5,73;09:01:58:797;1;1;
7,0;5,72;09:01:58:997;1;1;
7,2;5,70;09:01:59:197;1;1;
7,4;5,69;09:01:59:397;1;1;
7,6;5,68;09:01:59:597;1;1;
7,8;5,67;09:01:59:797;1;1;
8,0;5,66;09:01:59:997;1;1;
8,2;5,64;09:02:00:197;1;1;
8,4;5,63;09:02:00:397;0;1;
8,6;5,62;09:02:00:597;0;1;
8,8;5,62;09:02:00:797;0;1;
9,0;5,60;09:02:00:997;0;1;
9,2;5,60;09:02:01:197;0;1;
9,4;5,59;09:02:01:397;0;1;
9,6;5,59;09:02:01:597;0;1;
9,8;5,59;09:02:01:797;0;1;
10,0;5,61;09:02:01:997;0;1;
10,2;5,63;09:02:02:197;0;1;
10,4;5,66;09:02:02:397;0;1;
10,6;5,70;09:02:02:597;0;1;
10,8;5,74;09:02:02:797;0;1;
11,0;5,78;09:02:02:997;0;1;
11,2;5,81;09:02:03:197;0;1;
11,4;5,84;09:02:03:397;0;1;
11,6;5,86;09:02:03:597;0;1;
11,8;5,88;09:02:03:797;0;1;
12,0;5,89;09:02:03:997;0;1;
12,2;5,90;09:02:04:197;0;1;
12,4;5,90;09:02:04:397;0;1;
12,6;5,90;09:02:04:597;0;1;
