Device: Apple iPhone10,4; eSense app version: 4.3.3; ios version: 13.2.3;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-19112019-120941;;;;
DATUM (SS:MM:SS);19.11.19 12:09:41;;;;
ZEIT (SS:MM:SS);00:02:22;;;;
MAXIMUM;12,73 µS;;;;
MINIMUM;9,27 µS;;;;
DIFFERENZ MIN/MAX;3,46 µS;;;;
DURCHSCHNITT SESSION;11,34 µS;;;;
ZUNAHME (SS:MM:SS);00:00:37;;;;
STETIG (SS:MM:SS);00:00:12;;;;
ABNAHME (SS:MM:SS);00:01:32;;;;
;;;;;
GESAMT SCR;21;;;;
% SCR DER SITZUNG;31,7%;;;;
0-5 SCR/MIN (SS:MM:SS);00:00:33;;;;
6-9 SCR/MIN (SS:MM:SS);00:01:10;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:40;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;11,27;12:09:41:052;0;0;
0,2;11,24;12:09:41:252;0;0;
0,4;11,22;12:09:41:452;0;0;
0,6;11,20;12:09:41:652;0;0;
0,8;11,25;12:09:41:852;0;0;
1,0;11,42;12:09:42:052;0;0;
1,2;11,63;12:09:42:252;0;0;
1,4;11,81;12:09:42:452;0;0;
1,6;11,93;12:09:42:652;0;0;
1,8;12,02;12:09:42:852;0;0;
2,0;12,08;12:09:43:052;0;0;
2,2;12,13;12:09:43:252;0;0;
2,4;12,16;12:09:43:452;0;0;
2,6;12,17;12:09:43:652;0;0;
2,8;12,18;12:09:43:852;0;0;
3,0;12,20;12:09:44:052;0;0;
3,2;12,27;12:09:44:252;0;0;
3,4;12,37;12:09:44:452;0;0;
3,6;12,45;12:09:44:652;0;0;
3,8;12,48;12:09:44:852;0;0;
4,0;12,49;12:09:45:052;0;0;
4,2;12,46;12:09:45:252;0;0;
4,4;12,41;12:09:45:452;1;0;
4,6;12,35;12:09:45:652;1;0;
4,8;12,29;12:09:45:852;1;0;
5,0;12,28;12:09:46:052;1;0;
5,2;12,33;12:09:46:252;1;0;
5,4;12,39;12:09:46:452;1;0;
5,6;12,42;12:09:46:652;1;0;
5,8;12,42;12:09:46:852;1;0;
6,0;12,40;12:09:47:052;1;0;
6,2;12,35;12:09:47:252;1;0;
6,4;12,29;12:09:47:452;1;0;
6,6;12,29;12:09:47:652;1;0;
6,8;12,39;12:09:47:852;1;0;
7,0;12,53;12:09:48:052;1;0;
7,2;12,64;12:09:48:252;1;0;
7,4;12,71;12:09:48:452;1;0;
7,6;12,73;12:09:48:652;1;1;
7,8;12,72;12:09:48:852;1;1;
8,0;12,70;12:09:49:052;1;1;
8,2;12,64;12:09:49:252;1;1;
8,4;12,57;12:09:49:452;1;1;
8,6;12,49;12:09:49:652;1;1;
8,8;12,40;12:09:49:852;1;1;
9,0;12,32;12:09:50:052;1;1;
9,2;12,24;12:09:50:252;1;1;
9,4;12,16;12:09:50:452;1;1;
9,6;12,09;12:09:50:652;1;1;
9,8;12,04;12:09:50:852;1;1;
10,0;11,98;12:09:51:052;1;1;
10,2;11,96;12:09:51:252;1;1;
10,4;11,98;12:09:51:452;1;1;
10,6;12,10;12:09:51:652;1;1;
10,8;12,25;12:09:51:852;1;1;
11,0;12,37;12:09:52:052;1;1;
11,2;12,43;12:09:52:252;1;2;
11,4;12,47;12:09:52:452;1;2;
11,6;12,51;12:09:52:652;1;2;
11,8;12,54;12:09:52:852;1;2;
12,0;12,56;12:09:53:052;1;2;
12,2;12,54;12:09:53:252;0;2;
12,4;12,50;12:09:53:452;0;2;
12,6;12,43;12:09:53:652;0;2;
12,8;12,35;12:09:53:852;0;2;
13,0;12,25;12:09:54:052;0;2;
13,2;12,16;12:09:54:252;0;2;
13,4;12,09;12:09:54:452;0;2;
13,6;12,02;12:09:54:652;0;2;
13,8;11,96;12:09:54:852;0;2;
14,0;11,91;12:09:55:052;0;2;
14,2;11,87;12:09:55:252;0;2;
14,4;11,84;12:09:55:452;1;2;
14,6;11,80;12:09:55:652;1;2;
14,8;11,79;12:09:55:852;1;2;
15,0;11,77;12:09:56:052;1;2;
15,2;11,74;12:09:56:252;1;2;
15,4;11,74;12:09:56:452;1;2;
15,6;11,84;12:09:56:652;1;3;
15,8;11,95;12:09:56:852;1;3;
16,0;12,06;12:09:57:052;1;3;
16,2;12,19;12:09:57:252;0;3;
16,4;12,21;12:09:57:452;0;3;
16,6;12,26;12:09:57:652;0;3;
16,8;12,31;12:09:57:852;0;3;
17,0;12,32;12:09:58:052;0;3;
17,2;12,28;12:09:58:252;0;3;
17,4;12,24;12:09:58:452;0;3;
17,6;12,18;12:09:58:652;0;3;
17,8;12,12;12:09:58:852;0;3;
18,0;12,14;12:09:59:052;0;3;
18,2;12,27;12:09:59:252;0;3;
18,4;12,38;12:09:59:452;0;3;
18,6;12,41;12:09:59:652;0;3;
18,8;12,43;12:09:59:852;0;3;
19,0;12,41;12:10:00:052;0;3;
19,2;12,32;12:10:00:252;0;3;
19,4;12,25;12:10:00:452;0;3;
19,6;12,20;12:10:00:652;0;3;
19,8;12,12;12:10:00:852;0;3;
20,0;12,09;12:10:01:052;0;3;
20,2;12,11;12:10:01:252;0;3;
20,4;12,16;12:10:01:452;0;3;
20,6;12,21;12:10:01:652;0;3;
20,8;12,22;12:10:01:852;0;3;
21,0;12,21;12:10:02:052;0;3;
21,2;12,17;12:10:02:252;0;3;
21,4;12,12;12:10:02:452;0;3;
21,6;12,04;12:10:02:652;0;3;
21,8;11,97;12:10:02:852;0;3;
22,0;11,90;12:10:03:052;0;3;
22,2;11,84;12:10:03:252;0;3;
22,4;11,80;12:10:03:452;0;3;
22,6;11,77;12:10:03:652;0;3;
22,8;11,75;12:10:03:852;0;3;
23,0;11,73;12:10:04:052;0;3;
23,2;11,72;12:10:04:252;0;3;
23,4;11,71;12:10:04:452;0;3;
23,6;11,69;12:10:04:652;0;3;
23,8;11,67;12:10:04:852;0;3;
24,0;11,65;12:10:05:052;0;3;
24,2;11,63;12:10:05:252;0;3;
24,4;11,60;12:10:05:452;0;3;
24,6;11,59;12:10:05:652;0;3;
24,8;11,62;12:10:05:852;0;3;
25,0;11,72;12:10:06:052;0;3;
25,2;11,86;12:10:06:252;0;3;
25,4;11,98;12:10:06:452;0;3;
