Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-104606;;;;
DATUM (SS:MM:SS);20.11.19 10:46:06;;;;
ZEIT (SS:MM:SS);00:02:28;;;;
MAXIMUM;5,63 µS;;;;
MINIMUM;0,46 µS;;;;
DIFFERENZ MIN/MAX;5,17 µS;;;;
DURCHSCHNITT SESSION;5,11 µS;;;;
ZUNAHME (SS:MM:SS);00:00:46;;;;
STETIG (SS:MM:SS);00:00:07;;;;
ABNAHME (SS:MM:SS);00:01:34;;;;
;;;;;
GESAMT SCR;15;;;;
% SCR DER SITZUNG;46,7%;;;;
0-5 SCR/MIN (SS:MM:SS);00:01:27;;;;
6-9 SCR/MIN (SS:MM:SS);00:01:09;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;4,54;10:46:06:877;0;0;
0,2;4,54;10:46:07:077;0;0;
0,4;4,55;10:46:07:277;0;0;
0,6;4,55;10:46:07:477;0;0;
0,8;4,55;10:46:07:677;0;0;
1,0;4,54;10:46:07:877;0;0;
1,2;4,53;10:46:08:077;0;0;
1,4;4,53;10:46:08:277;0;0;
1,6;4,52;10:46:08:477;0;0;
1,8;4,51;10:46:08:677;0;0;
2,0;4,50;10:46:08:877;0;0;
2,2;4,49;10:46:09:077;0;0;
2,4;4,49;10:46:09:277;0;0;
2,6;4,48;10:46:09:477;0;0;
2,8;4,48;10:46:09:677;0;0;
3,0;4,49;10:46:09:877;0;0;
3,2;4,51;10:46:10:077;0;0;
3,4;4,53;10:46:10:277;0;0;
3,6;4,56;10:46:10:477;0;0;
3,8;4,59;10:46:10:677;0;0;
4,0;4,61;10:46:10:877;0;0;
4,2;4,62;10:46:11:077;0;0;
4,4;4,63;10:46:11:277;0;0;
4,6;4,63;10:46:11:477;0;0;
4,8;4,64;10:46:11:677;0;0;
5,0;4,63;10:46:11:877;0;0;
5,2;4,63;10:46:12:077;0;0;
5,4;4,63;10:46:12:277;0;0;
5,6;4,63;10:46:12:477;0;0;
5,8;4,63;10:46:12:677;0;0;
6,0;4,63;10:46:12:877;0;0;
6,2;4,63;10:46:13:077;0;0;
6,4;4,61;10:46:13:277;0;0;
6,6;4,60;10:46:13:477;0;0;
6,8;4,60;10:46:13:677;0;0;
7,0;4,59;10:46:13:877;1;0;
7,2;4,59;10:46:14:077;1;0;
7,4;4,60;10:46:14:277;1;0;
7,6;4,59;10:46:14:477;1;0;
7,8;4,59;10:46:14:677;1;0;
8,0;4,59;10:46:14:877;1;0;
8,2;4,59;10:46:15:077;1;0;
8,4;4,58;10:46:15:277;1;1;
8,6;4,58;10:46:15:477;1;1;
8,8;4,58;10:46:15:677;1;1;
9,0;4,58;10:46:15:877;1;1;
9,2;4,58;10:46:16:077;1;1;
9,4;4,58;10:46:16:277;1;1;
9,6;4,58;10:46:16:477;1;1;
9,8;4,58;10:46:16:677;1;1;
10,0;4,58;10:46:16:877;1;1;
10,2;4,58;10:46:17:077;1;1;
10,4;4,58;10:46:17:277;1;1;
10,6;4,58;10:46:17:477;1;1;
10,8;4,58;10:46:17:677;1;1;
11,0;4,59;10:46:17:877;1;1;
11,2;4,61;10:46:18:077;1;1;
11,4;4,61;10:46:18:277;1;1;
11,6;4,63;10:46:18:477;1;1;
11,8;4,63;10:46:18:677;1;1;
12,0;4,63;10:46:18:877;1;1;
12,2;4,62;10:46:19:077;1;1;
12,4;4,62;10:46:19:277;1;1;
12,6;4,61;10:46:19:477;1;1;
12,8;4,60;10:46:19:677;1;1;
13,0;4,60;10:46:19:877;1;1;
13,2;4,60;10:46:20:077;1;1;
13,4;4,60;10:46:20:277;0;1;
13,6;4,60;10:46:20:477;0;1;
13,8;4,60;10:46:20:677;0;1;
14,0;4,60;10:46:20:877;0;1;
14,2;4,60;10:46:21:077;0;1;
14,4;4,59;10:46:21:277;0;1;
14,6;4,58;10:46:21:477;0;1;
14,8;4,57;10:46:21:677;0;1;
15,0;4,57;10:46:21:877;0;1;
15,2;4,56;10:46:22:077;0;1;
15,4;4,56;10:46:22:277;0;1;
15,6;4,56;10:46:22:477;0;1;
15,8;4,56;10:46:22:677;0;1;
16,0;4,57;10:46:22:877;0;1;
16,2;4,58;10:46:23:077;0;1;
16,4;4,58;10:46:23:277;0;1;
16,6;4,58;10:46:23:477;0;1;
16,8;4,57;10:46:23:677;0;1;
17,0;4,57;10:46:23:877;0;1;
17,2;4,57;10:46:24:077;0;1;
17,4;4,58;10:46:24:277;0;1;
17,6;4,60;10:46:24:477;0;1;
17,8;4,63;10:46:24:677;0;1;
18,0;4,69;10:46:24:877;0;1;
18,2;4,69;10:46:25:077;0;1;
18,4;4,70;10:46:25:277;0;1;
18,6;4,71;10:46:25:477;0;1;
18,8;4,71;10:46:25:677;0;1;
19,0;4,70;10:46:25:877;0;1;
19,2;4,69;10:46:26:077;0;1;
19,4;4,68;10:46:26:277;0;1;
19,6;4,67;10:46:26:477;0;1;
19,8;4,65;10:46:26:677;0;1;
20,0;4,64;10:46:26:877;0;1;
20,2;4,64;10:46:27:077;0;1;
20,4;4,64;10:46:27:277;0;1;
20,6;4,66;10:46:27:477;0;1;
20,8;4,68;10:46:27:677;0;1;
21,0;4,69;10:46:27:877;0;1;
21,2;4,70;10:46:28:077;0;1;
21,4;4,72;10:46:28:277;0;1;
21,6;4,73;10:46:28:477;0;1;
21,8;4,73;10:46:28:677;0;1;
22,0;4,73;10:46:28:877;0;1;
22,2;4,72;10:46:29:077;0;1;
22,4;4,72;10:46:29:277;0;1;
22,6;4,71;10:46:29:477;0;1;
22,8;4,71;10:46:29:677;0;1;
23,0;4,70;10:46:29:877;0;1;
23,2;4,70;10:46:30:077;0;1;
23,4;4,69;10:46:30:277;0;1;
23,6;4,69;10:46:30:477;0;1;
23,8;4,69;10:46:30:677;0;1;
24,0;4,69;10:46:30:877;0;1;
24,2;4,68;10:46:31:077;0;1;
24,4;4,68;10:46:31:277;0;1;
24,6;4,67;10:46:31:477;1;1;
24,8;4,67;10:46:31:677;1;1;
25,0;4,66;10:46:31:877;1;1;
25,2;4,65;10:46:32:077;1;1;
25,4;4,64;10:46:32:277;0;1;
25,6;4,63;10:46:32:477;0;2;
25,8;4,62;10:46:32:677;0;2;
26,0;4,62;10:46:32:877;0;2;
26,2;4,61;10:46:33:077;0;2;
26,4;4,61;10:46:33:277;0;2;
26,6;4,62;10:46:33:477;0;2;
26,8;4,64;10:46:33:677;0;2;
27,0;4,66;10:46:33:877;0;2;
27,2;4,69;10:46:34:077;0;2;
27,4;4,71;10:46:34:277;0;2;
27,6;4,73;10:46:34:477;0;2;
27,8;4,75;10:46:34:677;0;2;
28,0;4,76;10:46:34:877;0;2;
28,2;4,77;10:46:35:077;0;2;
28,4;4,78;10:46:35:277;0;2;
28,6;4,78;10:46:35:477;0;2;
28,8;4,78;10:46:35:677;0;2;
29,0;4,77;10:46:35:877;0;2;
29,2;4,77;10:46:36:077;0;2;
29,4;4,76;10:46:36:277;0;2;
29,6;4,75;10:46:36:477;0;2;
29,8;4,74;10:46:36:677;0;2;
30,0;4,73;10:46:36:877;0;2;
30,2;4,73;10:46:37:077;0;2;
30,4;4,72;10:46:37:277;0;2;
30,6;4,71;10:46:37:477;1;2;
30,8;4,70;10:46:37:677;1;2;
31,0;4,70;10:46:37:877;1;2;
31,2;4,70;10:46:38:077;1;2;
31,4;4,70;10:46:38:277;1;2;
31,6;4,70;10:46:38:477;1;2;
31,8;4,70;10:46:38:677;1;2;
32,0;4,71;10:46:38:877;1;2;
32,2;4,71;10:46:39:077;1;2;
32,4;4,72;10:46:39:277;1;3;
32,6;4,72;10:46:39:477;1;3;
32,8;4,72;10:46:39:677;1;3;
33,0;4,72;10:46:39:877;1;3;
33,2;4,72;10:46:40:077;1;3;
33,4;4,73;10:46:40:277;1;3;
33,6;4,75;10:46:40:477;1;3;
33,8;4,76;10:46:40:677;1;3;
34,0;4,77;10:46:40:877;1;3;
34,2;4,78;10:46:41:077;1;3;
34,4;4,79;10:46:41:277;1;3;
34,6;4,79;10:46:41:477;1;3;
34,8;4,79;10:46:41:677;1;3;
35,0;4,79;10:46:41:877;1;3;
35,2;4,78;10:46:42:077;1;3;
35,4;4,77;10:46:42:277;1;3;
35,6;4,77;10:46:42:477;1;3;
35,8;4,77;10:46:42:677;1;3;
36,0;4,77;10:46:42:877;1;3;
36,2;4,78;10:46:43:077;1;3;
36,4;4,78;10:46:43:277;1;3;
36,6;4,78;10:46:43:477;1;3;
36,8;4,78;10:46:43:677;1;3;
37,0;4,77;10:46:43:877;1;3;
37,2;4,76;10:46:44:077;1;3;
37,4;4,75;10:46:44:277;0;3;
37,6;4,75;10:46:44:477;0;3;
37,8;4,73;10:46:44:677;0;3;
38,0;4,72;10:46:44:877;0;3;
38,2;4,71;10:46:45:077;0;3;
38,4;4,71;10:46:45:277;0;3;
38,6;4,71;10:46:45:477;0;3;
38,8;4,71;10:46:45:677;0;3;
39,0;4,72;10:46:45:877;0;3;
39,2;4,72;10:46:46:077;0;3;
39,4;4,73;10:46:46:277;0;3;
39,6;4,74;10:46:46:477;0;3;
39,8;4,74;10:46:46:677;0;3;
40,0;4,74;10:46:46:877;0;3;
40,2;4,75;10:46:47:077;0;3;
40,4;4,79;10:46:47:277;0;3;
40,6;4,86;10:46:47:477;0;3;
